Project Path,Existing Packages,Generated Packages,Unique to Existing Packages,Unique to Generated Packages,Common packages
G:/ReqProject/gitprojects/project\815,1,1,0,0,1
G:/ReqProject/gitprojects/project\816,0,3,0,3,0
G:/ReqProject/gitprojects/project\817,32,11,23,2,9
G:/ReqProject/gitprojects/project\818,7,3,4,0,3
G:/ReqProject/gitprojects/project\819,1,1,0,0,1
G:/ReqProject/gitprojects/project\821,2,2,1,1,1
G:/ReqProject/gitprojects/project\822,2,3,1,2,1
G:/ReqProject/gitprojects/project\823,14,1,13,0,1
G:/ReqProject/gitprojects/project\824,3,4,0,1,3
G:/ReqProject/gitprojects/project\825,2,3,1,2,1
G:/ReqProject/gitprojects/project\827,5,3,2,0,3
G:/ReqProject/gitprojects/project\829,5,7,1,3,4
G:/ReqProject/gitprojects/project\830,6,1,5,0,1
G:/ReqProject/gitprojects/project\834,4,3,2,1,2
G:/ReqProject/gitprojects/project\836,8,6,5,3,3
